Order_Date,Order_Number,Product_ID,Library_Card_Number,Order_Quantity
43099,Ord450,PROD16,TC93,7
43103,Ord163,PROD24,STC39,17
43103,Ord421,PROD19,TC94,17
43106,Ord527,PROD41,STC65,13
43110,Ord177,PROD29,STC43,5
43111,Ord357,PROD36,TC99,17
43112,Ord353,PROD18,STC56,2
43113,Ord939,PROD29,STC33,8
43116,Ord974,PROD19,TC83,5
43121,Ord415,PROD25,STC41,11
43121,Ord981,PROD24,STC36,1
43125,Ord90,PROD43,TC26,10
43132,Ord154,PROD15,STC82,16
43133,Ord721,PROD48,STC97,7
43137,Ord992,PROD25,STC67,2
43142,Ord980,PROD19,TC94,20
43143,Ord430,PROD38,TC27,5
43153,Ord481,PROD13,TC58,2
43161,Ord114,PROD33,TC61,8
43161,Ord285,PROD44,STC97,18
43163,Ord315,PROD36,STC49,5
43164,Ord535,PROD24,STC29,8
43166,Ord709,PROD20,TC77,20
43169,Ord63,PROD45,TC92,20
43180,Ord196,PROD11,TC67,19
43186,Ord734,PROD20,TC39,7
43190,Ord770,PROD21,TC56,1
43190,Ord869,PROD32,TC55,5
43194,Ord301,PROD10,TC48,2
43195,Ord326,PROD27,TC99,17
43195,Ord942,PROD26,TC63,11
43196,Ord257,PROD38,STC89,5
43201,Ord550,PROD29,STC21,5
43205,Ord618,PROD40,TC79,13
43205,Ord871,PROD14,TC78,3
43208,Ord111,PROD35,TC54,6
43208,Ord707,PROD11,TC52,12
43211,Ord32,PROD48,STC69,4
43214,Ord333,PROD33,TC71,2
43216,Ord964,PROD16,TC94,19
43218,Ord189,PROD17,TC34,16
43222,Ord236,PROD19,TC88,8
43226,Ord121,PROD21,TC24,9
43226,Ord571,PROD19,STC90,12
43229,Ord682,PROD26,TC21,14
43230,Ord855,PROD38,STC16,19
43233,Ord977,PROD47,STC47,2
43237,Ord621,PROD32,TC63,15
43245,Ord454,PROD27,STC81,3
43245,Ord978,PROD13,STC42,16
43259,Ord825,PROD33,TC68,17
43260,Ord739,PROD17,TC57,2
43260,Ord774,PROD40,TC56,9
43266,Ord252,PROD16,TC60,16
43272,Ord132,PROD35,STC51,4
43272,Ord958,PROD31,TC36,2
43275,Ord364,PROD21,STC30,17
43276,Ord331,PROD10,TC31,10
43279,Ord81,PROD22,TC70,20
43282,Ord762,PROD48,TC58,17
43285,Ord68,PROD15,STC28,10
43285,Ord933,PROD46,TC59,11
43285,Ord996,PROD11,STC92,8
43308,Ord491,PROD27,STC85,20
43309,Ord683,PROD23,STC10,10
43311,Ord73,PROD24,STC93,7
43321,Ord882,PROD27,TC86,7
43328,Ord463,PROD14,TC74,17
43329,Ord194,PROD46,TC58,7
43337,Ord142,PROD37,TC49,12
43337,Ord494,PROD45,STC36,2
43339,Ord643,PROD22,STC33,18
43348,Ord378,PROD23,STC89,9
43351,Ord224,PROD36,TC22,14
43356,Ord566,PROD23,TC85,14
43369,Ord586,PROD44,TC79,13
43372,Ord267,PROD23,TC85,20
43375,Ord557,PROD47,STC50,11
43377,Ord701,PROD16,STC92,1
43378,Ord201,PROD38,STC33,8
43380,Ord641,PROD41,STC43,17
43384,Ord667,PROD27,STC79,14
43387,Ord62,PROD14,STC93,3
43396,Ord982,PROD15,TC18,17
43397,Ord256,PROD23,STC20,4
43398,Ord03,PROD44,STC73,4
43401,Ord398,PROD15,TC58,8
43401,Ord926,PROD21,TC81,16
43403,Ord118,PROD11,STC51,11
43410,Ord297,PROD41,STC80,18
43415,Ord489,PROD20,STC87,8
43418,Ord514,PROD31,STC97,11
43420,Ord309,PROD14,TC47,13
43425,Ord87,PROD34,STC40,1
43442,Ord10,PROD37,STC63,20
43442,Ord629,PROD11,TC80,11
43445,Ord133,PROD20,TC46,15
43445,Ord765,PROD37,STC48,5
43447,Ord959,PROD46,STC29,15
43448,Ord382,PROD15,TC15,7
43448,Ord990,PROD21,STC59,1
43449,Ord348,PROD35,STC22,15
43450,Ord170,PROD35,STC92,2
43459,Ord47,PROD33,STC66,13
43459,Ord162,PROD21,TC83,20
43461,Ord351,PROD20,STC75,18
43461,Ord727,PROD22,TC30,14
43465,Ord997,PROD16,STC66,6
43470,Ord811,PROD30,TC36,9
43474,Ord826,PROD27,STC52,2
43474,Ord928,PROD38,TC55,9
43476,Ord286,PROD38,TC63,1
43489,Ord758,PROD35,STC46,16
43490,Ord137,PROD30,TC12,13
43493,Ord104,PROD14,TC95,17
43493,Ord841,PROD24,STC59,1
43494,Ord483,PROD24,STC71,16
43496,Ord441,PROD17,TC98,19
43497,Ord692,PROD30,STC58,13
43498,Ord972,PROD30,TC64,6
43500,Ord120,PROD12,STC20,11
43507,Ord228,PROD13,TC44,19
43530,Ord971,PROD16,TC11,3
43533,Ord388,PROD35,TC50,10
43536,Ord96,PROD17,TC58,3
43537,Ord831,PROD45,TC95,5
43540,Ord242,PROD43,TC41,1
43545,Ord103,PROD17,STC40,16
43545,Ord110,PROD27,STC56,20
43551,Ord688,PROD21,TC58,17
43551,Ord693,PROD22,TC54,7
43552,Ord02,PROD24,TC38,5
43553,Ord373,PROD27,TC15,12
43556,Ord368,PROD31,TC50,4
43557,Ord800,PROD50,STC84,7
43562,Ord476,PROD16,STC61,6
43564,Ord545,PROD25,TC10,13
43566,Ord976,PROD28,TC17,15
43567,Ord749,PROD29,TC63,2
43568,Ord173,PROD17,TC74,17
43569,Ord801,PROD30,STC16,12
43570,Ord208,PROD28,TC63,14
43570,Ord338,PROD17,STC14,6
43575,Ord578,PROD16,STC25,7
43575,Ord718,PROD43,STC87,3
43578,Ord968,PROD43,TC81,17
43580,Ord186,PROD10,TC56,3
43580,Ord307,PROD21,STC19,18
43580,Ord572,PROD27,TC44,13
43588,Ord680,PROD13,STC61,14
43591,Ord988,PROD37,STC31,10
43594,Ord759,PROD27,STC31,6
43595,Ord891,PROD22,TC39,3
43601,Ord439,PROD19,TC99,1
43604,Ord531,PROD43,STC74,3
43605,Ord46,PROD21,TC74,15
43606,Ord375,PROD40,STC12,1
43608,Ord560,PROD48,TC68,7
43611,Ord92,PROD33,STC71,7
43612,Ord197,PROD22,STC72,13
43614,Ord43,PROD31,STC19,3
43615,Ord888,PROD10,TC63,4
43628,Ord519,PROD11,STC51,16
43631,Ord635,PROD16,STC47,19
43635,Ord613,PROD27,TC98,1
43638,Ord260,PROD47,TC95,14
43640,Ord325,PROD31,TC79,5
43643,Ord842,PROD37,TC79,9
43650,Ord600,PROD41,STC26,7
43655,Ord153,PROD13,TC90,20
43657,Ord169,PROD35,TC53,14
43657,Ord419,PROD49,STC61,6
43659,Ord148,PROD29,TC12,15
43673,Ord647,PROD18,STC99,14
43677,Ord909,PROD25,TC27,6
43691,Ord870,PROD29,TC17,17
43698,Ord438,PROD18,TC54,15
43698,Ord856,PROD29,STC65,12
43704,Ord568,PROD43,STC78,5
43707,Ord180,PROD22,TC85,15
43707,Ord354,PROD16,STC10,17
43715,Ord82,PROD26,STC100,7
43715,Ord523,PROD38,STC79,5
43716,Ord592,PROD48,STC37,7
43717,Ord60,PROD43,TC81,14
43717,Ord330,PROD13,STC10,12
43718,Ord140,PROD46,STC40,1
43724,Ord775,PROD30,STC54,9
43725,Ord877,PROD47,STC73,14
43730,Ord238,PROD43,TC91,19
43735,Ord927,PROD21,STC72,4
43737,Ord146,PROD40,STC49,11
43740,Ord506,PROD22,TC41,14
43740,Ord935,PROD42,STC40,6
43748,Ord772,PROD44,STC13,6
43755,Ord221,PROD46,TC98,1
43765,Ord528,PROD19,TC85,4
43766,Ord601,PROD18,STC34,9
43767,Ord769,PROD42,STC97,10
43775,Ord250,PROD30,STC13,5
43776,Ord924,PROD41,TC69,9
43777,Ord106,PROD22,TC98,8
43777,Ord963,PROD28,STC50,5
43779,Ord984,PROD37,STC29,5
43789,Ord719,PROD33,STC53,16
43793,Ord750,PROD47,STC18,10
43795,Ord461,PROD16,STC85,10
43804,Ord328,PROD16,STC27,15
43804,Ord525,PROD36,STC54,6
43809,Ord209,PROD20,STC14,10
43809,Ord359,PROD29,TC75,4
43815,Ord551,PROD43,STC88,12
43817,Ord639,PROD38,STC69,6
43818,Ord21,PROD27,TC55,4
43818,Ord913,PROD19,STC32,14
43828,Ord735,PROD42,TC69,13
43836,Ord423,PROD32,STC62,6
43837,Ord766,PROD48,TC40,12
43838,Ord874,PROD24,TC92,2
43840,Ord936,PROD27,TC30,6
43841,Ord868,PROD37,STC86,20
43845,Ord554,PROD16,TC99,4
43852,Ord731,PROD13,TC65,17
43855,Ord70,PROD14,STC65,18
43855,Ord606,PROD43,STC80,16
43857,Ord431,PROD43,STC69,19
43857,Ord878,PROD27,TC47,16
43859,Ord143,PROD31,TC96,6
43860,Ord720,PROD26,STC38,4
43861,Ord424,PROD11,TC35,19
43864,Ord638,PROD34,STC88,16
43869,Ord231,PROD13,TC49,15
43869,Ord443,PROD35,TC75,17
43886,Ord502,PROD46,STC69,19
43892,Ord808,PROD36,TC21,4
43893,Ord26,PROD28,STC26,6
43893,Ord533,PROD12,TC89,6
43900,Ord743,PROD21,TC91,20
43902,Ord339,PROD18,TC58,10
43902,Ord779,PROD17,STC75,7
43907,Ord477,PROD23,STC33,8
43907,Ord671,PROD35,TC84,7
43908,Ord642,PROD17,TC20,6
43916,Ord552,PROD15,TC37,5
43916,Ord885,PROD32,TC58,15
43917,Ord298,PROD19,TC86,17
43917,Ord452,PROD28,STC53,16
43920,Ord809,PROD12,STC44,17
43921,Ord947,PROD23,TC21,11
43927,Ord45,PROD19,STC86,2
43930,Ord840,PROD33,TC97,15
43932,Ord886,PROD42,STC30,20
43933,Ord166,PROD39,TC74,11
43939,Ord955,PROD39,TC40,14
43942,Ord903,PROD10,TC61,7
43943,Ord466,PROD35,STC93,17
43945,Ord537,PROD43,STC78,20
43946,Ord953,PROD27,TC77,19
43947,Ord950,PROD49,STC29,3
43953,Ord687,PROD14,TC62,9
43955,Ord337,PROD13,TC17,18
43955,Ord654,PROD47,TC27,11
43959,Ord668,PROD48,TC74,3
43970,Ord432,PROD28,STC94,4
43974,Ord745,PROD33,STC37,20
43975,Ord521,PROD24,TC82,6
43977,Ord507,PROD14,STC54,20
43979,Ord458,PROD46,STC96,8
43983,Ord222,PROD44,STC42,2
43986,Ord602,PROD37,TC14,2
43988,Ord453,PROD41,STC38,5
43991,Ord244,PROD29,TC89,19
44000,Ord09,PROD10,STC90,16
44000,Ord278,PROD35,STC90,13
44000,Ord300,PROD39,STC70,9
44000,Ord669,PROD19,STC15,6
44000,Ord867,PROD26,STC78,6
44005,Ord446,PROD20,STC15,19
44010,Ord697,PROD30,STC87,12
44011,Ord534,PROD12,TC89,12
44014,Ord291,PROD15,STC75,5
44015,Ord370,PROD42,STC32,20
44016,Ord833,PROD12,STC28,5
44018,Ord677,PROD23,TC53,19
44020,Ord468,PROD25,TC54,7
44023,Ord54,PROD19,TC48,7
44024,Ord429,PROD36,STC33,17
44036,Ord807,PROD45,TC99,9
44047,Ord367,PROD10,TC38,1
44047,Ord455,PROD35,STC98,11
44051,Ord144,PROD39,TC23,12
44054,Ord970,PROD13,STC77,19
44055,Ord447,PROD38,TC36,6
44057,Ord661,PROD20,TC76,5
44062,Ord346,PROD23,TC92,17
44064,Ord130,PROD10,STC39,12
44064,Ord168,PROD35,TC44,1
44067,Ord598,PROD49,STC99,15
44077,Ord362,PROD16,TC56,8
44078,Ord80,PROD46,TC47,4
44087,Ord987,PROD15,TC94,11
44097,Ord522,PROD23,TC80,7
44102,Ord340,PROD48,TC10,16
44103,Ord543,PROD16,STC19,11
44107,Ord418,PROD48,STC49,15
44112,Ord906,PROD39,STC52,6
44115,Ord117,PROD16,TC62,5
44117,Ord464,PROD18,STC36,7
44124,Ord738,PROD44,TC19,16
44126,Ord135,PROD49,STC15,11
44127,Ord232,PROD49,STC68,10
44132,Ord247,PROD41,STC35,20
44134,Ord817,PROD12,STC73,18
44135,Ord694,PROD34,TC15,10
44136,Ord397,PROD12,TC53,9
44138,Ord131,PROD41,STC30,11
44141,Ord29,PROD46,STC23,15
44141,Ord670,PROD38,TC80,8
44142,Ord127,PROD24,STC85,11
44145,Ord675,PROD19,TC75,1
44149,Ord324,PROD48,STC23,1
44150,Ord889,PROD26,STC17,13
44151,Ord516,PROD32,STC34,5
44155,Ord679,PROD14,TC71,6
44158,Ord998,PROD33,TC22,6
44161,Ord730,PROD25,TC60,8
44163,Ord204,PROD27,TC32,18
44169,Ord343,PROD46,TC99,11
44172,Ord704,PROD23,TC69,9
44174,Ord259,PROD48,STC30,6
44178,Ord567,PROD35,TC54,10
44180,Ord350,PROD44,TC21,18
44181,Ord460,PROD44,TC95,9
44181,Ord726,PROD27,TC78,5
44197,Ord961,PROD44,STC49,6
44198,Ord227,PROD23,STC27,9
44199,Ord563,PROD28,STC36,15
44200,Ord883,PROD50,STC28,14
44202,Ord19,PROD43,TC58,11
44202,Ord934,PROD27,TC56,8
44205,Ord495,PROD35,STC58,3
44207,Ord756,PROD29,TC56,7
44226,Ord268,PROD44,STC73,17
44228,Ord957,PROD33,STC45,9
44231,Ord828,PROD50,TC46,9
44236,Ord832,PROD12,TC70,10
44238,Ord187,PROD50,STC84,14
44243,Ord490,PROD35,TC74,3
44243,Ord951,PROD43,STC51,11
44249,Ord206,PROD41,STC10,18
44251,Ord823,PROD21,STC84,17
44265,Ord724,PROD18,TC98,6
44270,Ord316,PROD49,TC46,18
44279,Ord59,PROD31,TC87,5
44280,Ord684,PROD12,STC63,14
44281,Ord538,PROD16,STC48,2
44291,Ord288,PROD21,TC91,14
44293,Ord791,PROD13,TC78,16
44296,Ord666,PROD47,STC17,14
44303,Ord176,PROD25,STC63,13
44305,Ord887,PROD17,STC37,10
44306,Ord158,PROD36,TC25,15
44307,Ord109,PROD48,STC91,3
44310,Ord145,PROD12,TC17,15
44311,Ord940,PROD47,TC49,5
44314,Ord849,PROD25,STC62,16
44315,Ord796,PROD47,TC76,15
44318,Ord948,PROD46,STC42,7
44321,Ord488,PROD21,TC40,20
44322,Ord426,PROD42,STC43,19
44324,Ord67,PROD10,STC19,1
44326,Ord28,PROD12,STC43,13
44340,Ord406,PROD13,STC37,18
44343,Ord171,PROD34,STC12,12
44348,Ord205,PROD46,TC47,7
44348,Ord712,PROD27,STC89,12
44356,Ord94,PROD33,STC45,7
44358,Ord930,PROD34,TC92,6
44360,Ord356,PROD39,TC17,6
44362,Ord509,PROD30,TC32,2
44363,Ord276,PROD19,STC12,10
44364,Ord576,PROD16,TC46,14
44364,Ord747,PROD23,STC27,4
44366,Ord124,PROD42,STC13,8
44376,Ord129,PROD33,STC13,20
44378,Ord714,PROD27,TC10,19
44380,Ord305,PROD48,STC92,8
44381,Ord174,PROD20,STC52,15
44384,Ord304,PROD29,TC42,5
44384,Ord673,PROD28,TC81,7
44387,Ord526,PROD16,TC10,8
44390,Ord399,PROD13,STC62,9
44390,Ord644,PROD33,TC32,16
44398,Ord113,PROD49,TC13,2
44398,Ord284,PROD23,TC76,13
44399,Ord30,PROD28,STC46,16
44400,Ord515,PROD16,STC68,17
44405,Ord834,PROD47,TC19,15
44408,Ord217,PROD11,STC32,3
44409,Ord183,PROD10,TC33,12
44410,Ord226,PROD27,TC74,7
44412,Ord565,PROD24,TC89,20
44413,Ord128,PROD30,TC34,8
44413,Ord329,PROD31,STC11,14
44418,Ord407,PROD37,TC33,14
44419,Ord240,PROD11,TC23,18
44425,Ord61,PROD10,TC37,1
44433,Ord520,PROD26,TC54,19
44437,Ord847,PROD29,TC48,4
44443,Ord631,PROD28,TC72,8
44443,Ord702,PROD48,TC90,7
44446,Ord676,PROD28,TC26,16
44449,Ord804,PROD41,TC82,12
44450,Ord897,PROD37,STC51,1
44453,Ord914,PROD27,STC91,3
44457,Ord207,PROD18,TC99,15
44457,Ord784,PROD22,TC58,6
44458,Ord448,PROD23,TC14,11
44458,Ord577,PROD30,STC15,14
44459,Ord185,PROD18,TC79,14
44468,Ord733,PROD44,TC98,11
44471,Ord167,PROD37,STC45,2
44472,Ord581,PROD44,TC60,7
44474,Ord327,PROD12,TC50,3
44488,Ord323,PROD43,STC12,20
44509,Ord815,PROD32,TC39,8
44513,Ord218,PROD38,STC23,18
44516,Ord379,PROD13,TC54,6
44519,Ord308,PROD28,TC30,17
44521,Ord862,PROD35,TC68,11
44523,Ord457,PROD18,STC31,10
44525,Ord84,PROD42,STC40,13
44530,Ord93,PROD47,TC85,6
44533,Ord648,PROD47,TC67,20
44535,Ord427,PROD46,TC16,3
44540,Ord125,PROD19,TC64,4
44542,Ord778,PROD34,TC49,17
44543,Ord798,PROD41,TC49,7
44546,Ord255,PROD42,STC16,6
44547,Ord345,PROD44,STC13,5
44559,Ord50,PROD46,TC52,13
44561,Ord41,PROD20,STC19,2
44563,Ord969,PROD22,STC50,16
44566,Ord857,PROD17,TC84,6
44571,Ord646,PROD40,TC49,15
44578,Ord53,PROD10,TC98,12
44589,Ord615,PROD29,STC73,10
44593,Ord607,PROD17,STC26,18
44597,Ord899,PROD16,STC98,5
44606,Ord608,PROD27,TC14,7
44607,Ord98,PROD21,STC34,3
44610,Ord366,PROD14,TC57,18
44618,Ord487,PROD37,STC70,6
44619,Ord822,PROD29,TC97,2
44621,Ord776,PROD16,STC21,17
44628,Ord905,PROD30,STC18,8
44630,Ord363,PROD12,TC12,19
44631,Ord302,PROD19,STC89,4
44631,Ord376,PROD29,TC47,11
44633,Ord627,PROD31,STC11,13
44634,Ord122,PROD37,STC62,12
44638,Ord792,PROD30,TC93,20
44640,Ord819,PROD32,STC37,5
44645,Ord979,PROD28,TC54,11
44646,Ord283,PROD41,TC22,15
44649,Ord767,PROD23,STC49,10
44657,Ord619,PROD41,STC17,20
44658,Ord164,PROD41,TC24,16
44664,Ord863,PROD26,STC12,6
44667,Ord425,PROD22,STC78,15
44671,Ord18,PROD35,TC36,16
44678,Ord616,PROD26,STC63,7
44692,Ord989,PROD27,STC91,5
44693,Ord723,PROD33,TC26,12
44702,Ord835,PROD47,TC34,7
44703,Ord262,PROD25,STC62,20
44703,Ord349,PROD43,STC62,17
44706,Ord241,PROD47,TC49,7
44711,Ord115,PROD43,STC19,12
44712,Ord254,PROD41,STC22,17
44716,Ord674,PROD21,STC92,5
44723,Ord790,PROD12,STC46,19
44724,Ord986,PROD42,TC21,10
44742,Ord853,PROD40,STC84,17
44744,Ord220,PROD21,STC74,9
44747,Ord44,PROD43,STC50,2
44749,Ord508,PROD35,TC83,18
44754,Ord610,PROD22,TC34,14
44756,Ord05,PROD43,TC68,20
44761,Ord20,PROD33,STC57,7
44766,Ord400,PROD44,STC62,11
44767,Ord612,PROD30,TC46,20
44774,Ord360,PROD12,TC60,4
44776,Ord500,PROD33,TC48,12
44777,Ord428,PROD14,STC13,6
44778,Ord591,PROD14,TC82,3
44788,Ord157,PROD32,STC95,8
44790,Ord536,PROD45,STC96,10
44790,Ord938,PROD12,TC68,18
44795,Ord812,PROD45,TC80,19
44799,Ord944,PROD32,STC17,19
44800,Ord865,PROD38,STC92,18
44808,Ord91,PROD43,STC73,2
44810,Ord313,PROD46,TC19,16
44816,Ord190,PROD17,TC44,11
44819,Ord155,PROD34,TC21,10
44824,Ord08,PROD29,TC79,7
44830,Ord119,PROD39,TC16,15
44830,Ord717,PROD40,TC10,5
44831,Ord925,PROD22,TC72,6
44836,Ord112,PROD29,TC98,14
44839,Ord99,PROD38,TC79,4
44843,Ord813,PROD37,STC61,9
44847,Ord335,PROD29,TC13,17
44848,Ord875,PROD10,STC68,10
44851,Ord685,PROD10,TC13,19
44861,Ord574,PROD22,STC42,14
44862,Ord66,PROD46,STC61,1
44867,Ord281,PROD39,TC82,1
44870,Ord622,PROD46,STC37,8
44872,Ord440,PROD31,STC78,6
44874,Ord485,PROD24,STC99,20
44874,Ord594,PROD22,STC77,19
44875,Ord405,PROD29,TC68,15
44879,Ord465,PROD22,TC90,4
44882,Ord390,PROD37,STC61,14
44884,Ord505,PROD44,STC25,10
44886,Ord866,PROD20,TC31,9
44891,Ord245,PROD47,STC30,16
44892,Ord786,PROD43,TC12,10
44895,Ord617,PROD22,STC59,7
44904,Ord626,PROD45,TC28,8
44906,Ord332,PROD33,TC37,8
44909,Ord689,PROD17,TC19,10
44911,Ord456,PROD40,TC79,10
44911,Ord496,PROD41,TC97,9
44913,Ord420,PROD13,STC27,9
44913,Ord478,PROD46,STC13,1
44918,Ord152,PROD14,STC83,17
44918,Ord334,PROD14,STC19,15
44918,Ord553,PROD26,TC55,19
44922,Ord585,PROD23,STC47,12
44923,Ord518,PROD18,STC91,16
44925,Ord395,PROD17,STC47,18
44927,Ord48,PROD11,STC60,16
44929,Ord540,PROD44,TC91,13
44929,Ord741,PROD14,TC64,3
44931,Ord681,PROD32,TC15,2
44933,Ord640,PROD19,TC43,8
44939,Ord126,PROD21,TC95,11
44940,Ord908,PROD36,STC67,12
44949,Ord473,PROD10,STC36,8
44956,Ord637,PROD41,TC44,18
44958,Ord475,PROD15,STC46,9
44965,Ord559,PROD28,STC95,10
44966,Ord915,PROD35,STC90,9
44967,Ord655,PROD32,TC28,18
44970,Ord708,PROD25,TC21,13
44973,Ord946,PROD43,TC48,10
44975,Ord414,PROD37,STC90,6
44990,Ord962,PROD25,STC95,6
44994,Ord884,PROD15,TC87,6
44994,Ord956,PROD11,STC98,13
44996,Ord907,PROD22,TC42,6
44998,Ord251,PROD39,STC16,1
45003,Ord239,PROD11,STC90,14
45007,Ord16,PROD29,TC49,18
45007,Ord542,PROD43,TC74,2
45011,Ord918,PROD49,STC72,6
45014,Ord504,PROD20,STC84,11
45015,Ord820,PROD43,TC88,6
45033,Ord394,PROD12,STC46,8
45040,Ord402,PROD25,STC22,11
45042,Ord319,PROD37,STC34,5
45047,Ord89,PROD17,STC12,17
45048,Ord894,PROD10,STC65,15
45050,Ord469,PROD45,STC67,10
45055,Ord101,PROD43,TC99,8
45060,Ord901,PROD45,STC57,14
45061,Ord773,PROD50,STC39,1
45063,Ord138,PROD43,TC88,1
45064,Ord233,PROD40,TC11,12
45071,Ord279,PROD48,TC85,1
45081,Ord295,PROD22,TC99,15
45083,Ord64,PROD44,TC78,19
45085,Ord444,PROD26,TC71,10
45091,Ord636,PROD17,TC31,18
45096,Ord274,PROD16,TC73,4
45100,Ord310,PROD26,STC31,19
45107,Ord698,PROD20,STC12,20
45110,Ord596,PROD14,STC14,12
45113,Ord814,PROD49,STC26,18
45117,Ord710,PROD33,STC51,18
45120,Ord973,PROD43,STC16,9
45122,Ord548,PROD17,TC49,13
45129,Ord603,PROD31,TC18,13
45131,Ord404,PROD38,TC65,6
45137,Ord590,PROD12,TC43,18
45138,Ord658,PROD40,TC83,3
45146,Ord416,PROD41,STC98,11
45156,Ord07,PROD28,STC46,11
45158,Ord851,PROD40,TC14,2
45162,Ord999,PROD12,TC40,7
45163,Ord347,PROD38,STC17,15
45164,Ord299,PROD33,STC63,11
45166,Ord275,PROD35,TC46,13
45171,Ord374,PROD19,TC82,14
45174,Ord312,PROD29,TC94,12
45180,Ord287,PROD41,TC25,20
45180,Ord794,PROD12,STC37,6
45193,Ord932,PROD11,STC42,19
45195,Ord760,PROD35,TC12,6
45196,Ord725,PROD40,STC43,11
45208,Ord51,PROD36,TC31,9
45209,Ord650,PROD21,STC59,9
45210,Ord27,PROD19,TC78,11
45210,Ord753,PROD23,STC83,12
45211,Ord850,PROD14,TC97,14
45215,Ord690,PROD36,STC61,16
45217,Ord270,PROD49,STC60,15
45226,Ord539,PROD41,STC49,15
45228,Ord664,PROD37,TC90,3
45229,Ord216,PROD40,TC42,10
45229,Ord479,PROD32,STC56,1
45230,Ord954,PROD43,STC44,11
45232,Ord547,PROD29,TC77,19
45233,Ord555,PROD14,STC85,20
45237,Ord781,PROD15,TC42,10
45243,Ord653,PROD10,TC70,14
45252,Ord890,PROD21,TC30,17
45252,Ord993,PROD39,STC28,2
45253,Ord896,PROD18,TC21,17
45258,Ord860,PROD49,TC56,2
45261,Ord318,PROD21,TC67,20
45265,Ord361,PROD47,TC18,14
45267,Ord634,PROD29,TC44,20
45271,Ord108,PROD49,STC70,14
45281,Ord215,PROD25,STC15,4
