In_Date,Shelves_ID,Product_ID,DayEnd_Stock_Pcs
45734,Shel002,PROD25,47
44100,Shel002,PROD13,76
46161,Shel002,PROD29,55
45891,Shel002,PROD21,57
45348,Shel002,PROD29,97
46193,Shel002,PROD12,65
43008,Shel002,PROD21,52
45204,Shel002,PROD37,89
45877,Shel002,PROD12,76
43947,Shel002,PROD19,26
45445,Shel002,PROD37,75
45429,Shel002,PROD13,52
44514,Shel002,PROD22,42
45107,Shel002,PROD18,81
42983,Shel002,PROD41,26
45450,Shel002,PROD35,95
43664,Shel002,PROD18,10
45636,Shel002,PROD20,79
43835,Shel002,PROD24,71
43941,Shel002,PROD13,12
44822,Shel002,PROD31,58
45806,Shel002,PROD19,51
43334,Shel002,PROD44,11
44755,Shel002,PROD22,90
44622,Shel002,PROD48,97
44982,Shel002,PROD43,17
45275,Shel002,PROD44,23
43404,Shel002,PROD42,95
44277,Shel002,PROD14,93
44295,Shel002,PROD38,18
43909,Shel002,PROD32,87
43306,Shel002,PROD34,13
44595,Shel002,PROD22,73
45331,Shel002,PROD40,96
43284,Shel002,PROD47,72
44714,Shel002,PROD21,72
45430,Shel002,PROD22,40
43356,Shel002,PROD21,21
45750,Shel002,PROD38,84
43511,Shel002,PROD21,44
44078,Shel002,PROD23,11
46172,Shel002,PROD36,55
43496,Shel002,PROD27,26
44205,Shel002,PROD48,50
45451,Shel002,PROD14,39
43463,Shel002,PROD49,33
44725,Shel002,PROD48,13
44827,Shel002,PROD16,49
44682,Shel002,PROD28,46
44479,Shel002,PROD30,91
44080,Shel002,PROD19,18
46116,Shel002,PROD45,26
45237,Shel002,PROD30,58
44950,Shel002,PROD27,77
45702,Shel002,PROD43,19
45654,Shel002,PROD12,73
46199,Shel002,PROD36,92
43991,Shel002,PROD11,82
44588,Shel002,PROD33,38
43059,Shel002,PROD17,24
44520,Shel002,PROD20,82
43792,Shel002,PROD26,71
44523,Shel002,PROD29,77
42973,Shel002,PROD22,57
45185,Shel002,PROD43,24
45007,Shel002,PROD24,66
46007,Shel002,PROD23,22
45822,Shel002,PROD35,14
44547,Shel002,PROD15,27
45972,Shel002,PROD26,98
46085,Shel002,PROD15,81
45069,Shel002,PROD27,36
44223,Shel003,PROD43,96
43668,Shel003,PROD35,24
45974,Shel003,PROD43,64
44818,Shel003,PROD28,15
42829,Shel003,PROD47,61
42737,Shel003,PROD21,17
44303,Shel003,PROD27,51
45238,Shel003,PROD16,60
44460,Shel003,PROD37,65
46146,Shel003,PROD29,23
45956,Shel003,PROD10,67
42767,Shel003,PROD11,22
45159,Shel003,PROD25,44
43403,Shel003,PROD40,35
44857,Shel003,PROD38,48
43362,Shel003,PROD40,69
45606,Shel003,PROD47,49
45822,Shel003,PROD23,45
44473,Shel003,PROD50,75
45870,Shel003,PROD19,81
43862,Shel003,PROD12,44
43019,Shel003,PROD41,81
45347,Shel003,PROD50,99
43633,Shel003,PROD13,46
42871,Shel003,PROD13,60
44452,Shel003,PROD28,96
45318,Shel003,PROD38,43
44329,Shel003,PROD16,95
44862,Shel003,PROD42,19
45645,Shel003,PROD23,45
45851,Shel003,PROD20,61
42885,Shel003,PROD35,41
43524,Shel003,PROD24,41
44441,Shel003,PROD41,29
43062,Shel003,PROD29,87
43313,Shel003,PROD44,70
44077,Shel003,PROD43,88
43997,Shel003,PROD48,23
43072,Shel003,PROD31,85
44239,Shel003,PROD22,30
42873,Shel003,PROD41,66
45620,Shel003,PROD31,10
43556,Shel003,PROD33,83
45199,Shel003,PROD26,11
45395,Shel003,PROD32,47
45348,Shel003,PROD27,28
44870,Shel003,PROD48,57
45287,Shel003,PROD27,49
45609,Shel003,PROD43,66
45363,Shel003,PROD33,45
43980,Shel003,PROD33,85
43090,Shel003,PROD44,94
44067,Shel003,PROD23,95
43028,Shel003,PROD33,35
42779,Shel003,PROD12,10
45344,Shel003,PROD35,20
45933,Shel003,PROD26,44
43956,Shel003,PROD38,34
43549,Shel003,PROD22,58
45306,Shel003,PROD46,53
43803,Shel003,PROD27,38
43618,Shel003,PROD30,11
42994,Shel003,PROD17,46
46082,Shel003,PROD42,73
46031,Shel003,PROD33,80
43899,Shel004,PROD50,37
42797,Shel004,PROD20,22
43702,Shel004,PROD19,83
44005,Shel004,PROD19,76
43817,Shel004,PROD36,71
44016,Shel004,PROD43,29
45888,Shel004,PROD33,67
44804,Shel004,PROD22,79
46139,Shel004,PROD24,60
44796,Shel004,PROD43,17
45599,Shel004,PROD24,94
42907,Shel004,PROD20,26
44317,Shel004,PROD29,73
45679,Shel004,PROD32,48
43461,Shel004,PROD39,14
44420,Shel004,PROD25,69
43110,Shel004,PROD17,88
44708,Shel004,PROD20,12
43465,Shel004,PROD27,71
45314,Shel004,PROD11,71
44435,Shel004,PROD38,32
44776,Shel004,PROD39,32
45367,Shel004,PROD48,32
43187,Shel004,PROD19,18
44335,Shel004,PROD19,62
44915,Shel004,PROD14,38
45763,Shel004,PROD33,60
44142,Shel004,PROD20,100
45361,Shel004,PROD23,16
45546,Shel004,PROD18,75
45877,Shel004,PROD36,49
43911,Shel004,PROD14,31
44281,Shel004,PROD40,33
44136,Shel004,PROD32,50
43161,Shel004,PROD16,91
46215,Shel004,PROD19,29
44715,Shel004,PROD14,50
43443,Shel004,PROD32,23
46052,Shel004,PROD36,89
43757,Shel004,PROD11,55
45298,Shel004,PROD47,60
43548,Shel004,PROD24,81
43352,Shel004,PROD16,17
45967,Shel004,PROD30,80
45304,Shel004,PROD14,51
43512,Shel004,PROD43,85
43606,Shel004,PROD26,69
45857,Shel004,PROD41,24
43120,Shel004,PROD18,19
44326,Shel004,PROD20,59
44395,Shel004,PROD32,52
43407,Shel004,PROD30,21
43981,Shel004,PROD23,15
45136,Shel004,PROD24,30
45207,Shel004,PROD29,42
44084,Shel004,PROD24,44
44128,Shel004,PROD27,21
45853,Shel004,PROD50,16
42968,Shel004,PROD34,56
45095,Shel004,PROD43,39
45992,Shel004,PROD13,39
43613,Shel004,PROD22,47
44532,Shel004,PROD50,79
43687,Shel004,PROD50,58
45636,Shel004,PROD49,20
44331,Shel004,PROD38,29
43636,Shel004,PROD21,52
43284,Shel004,PROD37,72
43361,Shel004,PROD40,17
43203,Shel004,PROD13,55
43668,Shel004,PROD45,85
44699,Shel004,PROD42,23
45314,Shel004,PROD11,40
42922,Shel004,PROD38,26
45155,Shel004,PROD46,78
44560,Shel004,PROD25,45
44199,Shel004,PROD14,33
44237,Shel004,PROD43,95
44533,Shel004,PROD24,57
43193,Shel005,PROD24,15
44294,Shel005,PROD46,35
44794,Shel005,PROD43,30
45729,Shel005,PROD46,65
44841,Shel005,PROD26,33
42762,Shel005,PROD50,30
43332,Shel005,PROD22,73
43833,Shel005,PROD37,53
43126,Shel005,PROD19,15
44289,Shel005,PROD18,72
43873,Shel005,PROD14,94
44302,Shel005,PROD13,58
44897,Shel005,PROD21,95
44975,Shel005,PROD15,78
43296,Shel005,PROD20,93
45847,Shel005,PROD36,11
43210,Shel005,PROD23,32
44179,Shel005,PROD12,90
44164,Shel005,PROD19,16
43327,Shel005,PROD11,57
42982,Shel005,PROD11,39
42948,Shel005,PROD47,60
43745,Shel005,PROD16,73
44183,Shel005,PROD41,28
43279,Shel005,PROD36,51
44211,Shel005,PROD49,47
44474,Shel005,PROD16,32
45038,Shel005,PROD26,60
43578,Shel005,PROD33,10
44289,Shel005,PROD14,29
45492,Shel005,PROD18,12
43152,Shel005,PROD44,63
44611,Shel005,PROD20,84
43660,Shel005,PROD18,18
45006,Shel005,PROD16,50
43751,Shel005,PROD11,79
46204,Shel005,PROD12,46
44239,Shel005,PROD15,75
44544,Shel005,PROD38,14
43496,Shel005,PROD44,82
45082,Shel005,PROD41,61
43644,Shel005,PROD48,22
43824,Shel005,PROD36,74
45036,Shel005,PROD20,92
44791,Shel005,PROD23,70
44722,Shel005,PROD48,73
44957,Shel005,PROD37,26
46103,Shel005,PROD33,74
45277,Shel005,PROD16,84
43308,Shel005,PROD26,67
44937,Shel005,PROD47,10
43106,Shel005,PROD28,42
45509,Shel005,PROD28,35
43485,Shel005,PROD36,37
44349,Shel005,PROD12,10
45782,Shel005,PROD29,60
43523,Shel005,PROD21,19
45875,Shel005,PROD17,79
44409,Shel005,PROD40,42
43961,Shel005,PROD46,50
44967,Shel005,PROD28,57
43368,Shel005,PROD23,83
44460,Shel005,PROD34,37
43387,Shel005,PROD30,62
44153,Shel005,PROD11,90
43354,Shel005,PROD26,65
43135,Shel005,PROD23,20
44291,Shel005,PROD11,52
44648,Shel005,PROD15,72
45224,Shel005,PROD36,100
43842,Shel005,PROD43,30
45362,Shel005,PROD12,31
44405,Shel005,PROD34,46
42800,Shel005,PROD36,22
43126,Shel005,PROD49,83
45697,Shel005,PROD10,26
44655,Shel005,PROD33,57
45723,Shel005,PROD47,80
45205,Shel005,PROD11,79
43900,Shel005,PROD48,90
46205,Shel005,PROD10,60
43841,Shel005,PROD23,78
43764,Shel005,PROD26,64
44238,Shel005,PROD27,97
43381,Shel005,PROD50,78
43101,Shel005,PROD36,34
44673,Shel005,PROD36,39
43607,Shel005,PROD36,16
43205,Shel005,PROD19,11
44422,Shel005,PROD49,15
44950,Shel005,PROD38,62
43083,Shel005,PROD45,52
44099,Shel005,PROD43,21
43373,Shel005,PROD15,25
44818,Shel005,PROD25,34
43643,Shel005,PROD39,46
44847,Shel006,PROD29,96
45119,Shel006,PROD11,100
44332,Shel006,PROD13,82
43770,Shel006,PROD17,67
46023,Shel006,PROD10,38
45933,Shel006,PROD14,67
45414,Shel006,PROD39,23
43902,Shel006,PROD23,88
45166,Shel006,PROD34,70
43924,Shel006,PROD41,18
43527,Shel006,PROD34,20
44314,Shel006,PROD22,49
45964,Shel006,PROD34,36
43071,Shel006,PROD47,88
43329,Shel006,PROD14,65
45405,Shel006,PROD49,79
44885,Shel006,PROD10,100
44041,Shel006,PROD43,20
45604,Shel006,PROD21,86
44156,Shel006,PROD48,82
44020,Shel006,PROD43,79
44599,Shel006,PROD35,90
45385,Shel006,PROD43,50
45354,Shel006,PROD16,84
43831,Shel006,PROD44,43
46199,Shel006,PROD39,76
45625,Shel006,PROD25,78
45070,Shel006,PROD19,50
44145,Shel006,PROD11,59
44011,Shel006,PROD16,47
44474,Shel006,PROD46,37
42852,Shel006,PROD20,54
44067,Shel006,PROD18,55
45222,Shel006,PROD14,18
45485,Shel006,PROD49,96
43871,Shel006,PROD16,64
43857,Shel006,PROD41,71
45643,Shel006,PROD16,24
45540,Shel006,PROD27,24
46105,Shel006,PROD45,19
46135,Shel006,PROD11,41
45395,Shel006,PROD46,49
45143,Shel006,PROD16,10
44499,Shel006,PROD17,84
44939,Shel006,PROD23,10
46022,Shel006,PROD21,38
46003,Shel006,PROD16,58
44012,Shel006,PROD34,70
44835,Shel006,PROD33,36
45035,Shel006,PROD18,60
44402,Shel006,PROD27,43
43501,Shel006,PROD21,97
43033,Shel006,PROD42,95
44941,Shel006,PROD35,16
44222,Shel006,PROD24,24
42987,Shel006,PROD33,86
43028,Shel006,PROD30,93
43748,Shel006,PROD30,99
45291,Shel006,PROD45,80
43849,Shel006,PROD29,94
44075,Shel006,PROD19,60
43720,Shel006,PROD29,36
42755,Shel006,PROD40,31
44686,Shel006,PROD32,16
45481,Shel006,PROD32,28
45714,Shel006,PROD37,92
45020,Shel006,PROD25,42
42945,Shel006,PROD21,77
45349,Shel006,PROD21,69
45545,Shel006,PROD27,81
44856,Shel006,PROD29,75
45309,Shel006,PROD21,42
43302,Shel006,PROD39,66
43118,Shel006,PROD37,30
44625,Shel006,PROD19,39
45203,Shel006,PROD13,55
43880,Shel006,PROD36,75
43311,Shel007,PROD19,55
42872,Shel007,PROD41,93
44189,Shel007,PROD28,69
42744,Shel007,PROD12,60
43927,Shel007,PROD37,15
45805,Shel007,PROD10,52
45624,Shel007,PROD45,28
45247,Shel007,PROD44,80
43625,Shel007,PROD42,100
46104,Shel007,PROD14,22
44958,Shel007,PROD39,84
43036,Shel007,PROD33,100
43361,Shel007,PROD35,42
43264,Shel007,PROD12,47
45804,Shel007,PROD42,91
44193,Shel007,PROD37,27
43389,Shel007,PROD34,22
44620,Shel007,PROD50,59
43159,Shel007,PROD46,87
44832,Shel007,PROD43,65
45160,Shel007,PROD18,92
43086,Shel007,PROD29,33
43226,Shel007,PROD30,26
42870,Shel007,PROD25,38
45481,Shel007,PROD35,80
44279,Shel007,PROD38,69
44488,Shel007,PROD21,98
45051,Shel007,PROD33,60
45475,Shel007,PROD46,11
44659,Shel007,PROD36,65
43290,Shel007,PROD18,65
45385,Shel007,PROD21,87
43234,Shel007,PROD39,92
44874,Shel007,PROD12,19
45350,Shel007,PROD12,87
45077,Shel007,PROD42,27
43695,Shel007,PROD15,36
45343,Shel007,PROD23,14
45234,Shel007,PROD35,45
43534,Shel007,PROD49,74
43892,Shel007,PROD28,11
44669,Shel007,PROD45,61
44580,Shel007,PROD21,62
46144,Shel007,PROD46,44
43534,Shel007,PROD16,56
44153,Shel007,PROD13,13
45330,Shel007,PROD24,95
45734,Shel007,PROD31,14
43456,Shel007,PROD46,96
43972,Shel007,PROD24,68
43928,Shel007,PROD44,100
45872,Shel007,PROD36,49
44430,Shel007,PROD26,82
45775,Shel007,PROD16,93
43838,Shel007,PROD23,45
44234,Shel007,PROD49,50
45139,Shel007,PROD41,22
43891,Shel007,PROD27,95
43137,Shel007,PROD19,83
45098,Shel007,PROD28,80
44535,Shel007,PROD45,39
45753,Shel007,PROD47,47
43726,Shel007,PROD48,29
43811,Shel007,PROD40,84
43990,Shel007,PROD31,39
43628,Shel007,PROD42,34
43914,Shel007,PROD27,29
45863,Shel007,PROD31,47
44841,Shel007,PROD33,72
42790,Shel007,PROD23,74
45949,Shel007,PROD27,41
43141,Shel007,PROD21,86
43699,Shel007,PROD45,49
43891,Shel007,PROD44,27
42745,Shel007,PROD12,19
43351,Shel007,PROD47,64
43466,Shel007,PROD12,14
43548,Shel007,PROD37,78
45379,Shel007,PROD32,75
44190,Shel007,PROD13,53
46048,Shel007,PROD16,43
44768,Shel007,PROD47,86
44135,Shel007,PROD10,80
44947,Shel007,PROD43,10
45341,Shel007,PROD12,21
43135,Shel007,PROD22,20
44979,Shel007,PROD16,77
43218,Shel007,PROD21,83
45424,Shel007,PROD23,68
46123,Shel008,PROD24,23
45377,Shel008,PROD49,27
46159,Shel008,PROD43,75
44836,Shel008,PROD20,72
44195,Shel008,PROD15,90
43202,Shel008,PROD33,95
44729,Shel008,PROD31,92
44224,Shel008,PROD21,18
43011,Shel008,PROD38,58
44160,Shel008,PROD47,23
43201,Shel008,PROD17,32
43552,Shel008,PROD49,78
45069,Shel008,PROD30,47
45655,Shel008,PROD30,34
45941,Shel008,PROD43,64
45616,Shel008,PROD15,35
43881,Shel008,PROD46,72
44766,Shel008,PROD36,18
44236,Shel008,PROD24,66
43979,Shel008,PROD17,52
45214,Shel008,PROD22,48
44471,Shel008,PROD41,12
45148,Shel008,PROD21,19
43163,Shel008,PROD38,72
43319,Shel008,PROD23,38
45419,Shel008,PROD23,14
45083,Shel008,PROD28,39
43246,Shel008,PROD49,93
44829,Shel008,PROD31,69
43273,Shel008,PROD17,84
44839,Shel008,PROD44,92
44118,Shel008,PROD19,41
42834,Shel008,PROD43,41
45095,Shel008,PROD13,71
44448,Shel008,PROD31,52
44004,Shel008,PROD17,98
43148,Shel008,PROD12,67
45022,Shel008,PROD35,79
46092,Shel008,PROD15,35
43184,Shel008,PROD15,77
43206,Shel008,PROD35,91
44513,Shel008,PROD45,36
43276,Shel008,PROD30,96
43216,Shel008,PROD18,58
46101,Shel008,PROD16,35
44782,Shel008,PROD34,36
43951,Shel008,PROD29,50
42976,Shel008,PROD15,65
42930,Shel008,PROD14,34
44536,Shel008,PROD30,37
42745,Shel008,PROD24,12
44792,Shel008,PROD24,93
45224,Shel008,PROD27,74
44834,Shel008,PROD10,10
44717,Shel008,PROD44,61
43813,Shel008,PROD19,34
44038,Shel008,PROD22,26
45163,Shel008,PROD26,57
43038,Shel008,PROD30,96
45656,Shel008,PROD40,62
42787,Shel008,PROD10,60
44792,Shel008,PROD47,65
45474,Shel008,PROD26,14
43113,Shel008,PROD14,31
43081,Shel008,PROD25,23
45612,Shel008,PROD20,92
42764,Shel008,PROD27,18
45654,Shel008,PROD29,85
43761,Shel008,PROD35,41
43106,Shel008,PROD37,96
45274,Shel008,PROD48,43
45590,Shel008,PROD13,33
44827,Shel008,PROD12,89
43361,Shel008,PROD50,40
44651,Shel008,PROD19,100
44230,Shel008,PROD38,13
45902,Shel008,PROD29,91
44900,Shel008,PROD32,91
44130,Shel008,PROD16,71
43941,Shel008,PROD10,23
44610,Shel008,PROD30,72
44038,Shel008,PROD39,58
43953,Shel008,PROD49,98
45308,Shel008,PROD15,26
45105,Shel008,PROD32,68
45484,Shel008,PROD43,31
45380,Shel008,PROD49,35
43041,Shel008,PROD28,34
45563,Shel008,PROD47,73
46083,Shel008,PROD37,87
43433,Shel009,PROD43,42
42767,Shel009,PROD48,96
45255,Shel009,PROD21,77
43281,Shel009,PROD24,25
45698,Shel009,PROD36,92
44478,Shel009,PROD31,90
44129,Shel009,PROD46,65
42739,Shel009,PROD10,28
46064,Shel009,PROD30,69
44842,Shel009,PROD42,86
45274,Shel009,PROD21,43
44836,Shel009,PROD39,77
45255,Shel009,PROD35,59
44290,Shel009,PROD43,14
43878,Shel009,PROD18,93
43690,Shel009,PROD19,39
45280,Shel009,PROD17,11
45707,Shel009,PROD46,78
43384,Shel009,PROD28,60
44469,Shel009,PROD20,86
46050,Shel009,PROD40,98
42880,Shel009,PROD42,92
43390,Shel009,PROD43,48
46194,Shel009,PROD13,23
44880,Shel009,PROD39,26
44745,Shel009,PROD44,36
43969,Shel009,PROD12,36
45931,Shel009,PROD24,65
46206,Shel009,PROD41,46
43053,Shel009,PROD10,83
44838,Shel009,PROD43,11
42959,Shel009,PROD27,26
42747,Shel009,PROD16,29
46162,Shel009,PROD13,33
45096,Shel009,PROD29,60
45238,Shel009,PROD48,49
44533,Shel009,PROD20,80
45505,Shel009,PROD19,27
43949,Shel009,PROD13,88
43470,Shel009,PROD30,24
43209,Shel009,PROD49,97
43914,Shel009,PROD49,81
43708,Shel009,PROD46,54
45531,Shel009,PROD28,97
45084,Shel009,PROD37,61
46153,Shel009,PROD14,41
44525,Shel009,PROD22,91
44504,Shel009,PROD19,87
46168,Shel009,PROD25,51
45116,Shel009,PROD40,100
45002,Shel009,PROD25,61
43287,Shel009,PROD35,77
43942,Shel009,PROD18,16
45973,Shel009,PROD24,17
42914,Shel009,PROD46,52
44866,Shel009,PROD13,88
46024,Shel009,PROD29,96
44077,Shel009,PROD20,36
45185,Shel009,PROD28,70
43917,Shel009,PROD26,66
43899,Shel009,PROD26,36
43854,Shel009,PROD48,97
44648,Shel009,PROD11,100
45695,Shel009,PROD40,55
46021,Shel009,PROD12,83
42853,Shel009,PROD47,79
43094,Shel009,PROD42,19
44677,Shel009,PROD26,42
43434,Shel009,PROD43,25
44520,Shel009,PROD28,19
42766,Shel009,PROD22,97
44656,Shel009,PROD50,75
42951,Shel009,PROD37,40
45186,Shel009,PROD41,49
43296,Shel009,PROD18,39
44516,Shel009,PROD16,23
43724,Shel009,PROD41,35
44036,Shel009,PROD47,95
43704,Shel009,PROD44,79
44423,Shel009,PROD23,51
43860,Shel009,PROD33,18
43678,Shel009,PROD34,77
45295,Shel009,PROD11,45
45414,Shel009,PROD24,46
44464,Shel010,PROD44,60
43810,Shel010,PROD10,80
44178,Shel010,PROD40,90
43990,Shel010,PROD11,64
45487,Shel010,PROD33,20
43833,Shel010,PROD21,98
43289,Shel010,PROD13,52
43691,Shel010,PROD19,18
43894,Shel010,PROD12,34
44527,Shel010,PROD28,49
46101,Shel010,PROD36,43
46203,Shel010,PROD11,20
44447,Shel010,PROD25,35
43027,Shel010,PROD30,50
44185,Shel010,PROD24,56
44790,Shel010,PROD22,12
44187,Shel010,PROD45,92
44293,Shel010,PROD33,13
43420,Shel010,PROD48,78
46194,Shel010,PROD33,11
43198,Shel010,PROD37,91
44350,Shel010,PROD24,87
44480,Shel010,PROD22,71
44997,Shel010,PROD41,62
43702,Shel010,PROD35,40
42983,Shel010,PROD41,30
46086,Shel010,PROD48,28
43529,Shel010,PROD16,22
45926,Shel010,PROD13,20
43047,Shel010,PROD48,26
43792,Shel010,PROD41,59
44201,Shel010,PROD34,56
43840,Shel010,PROD39,49
44064,Shel010,PROD21,84
45930,Shel010,PROD48,86
44553,Shel010,PROD48,31
43362,Shel010,PROD30,53
45965,Shel010,PROD14,76
44350,Shel010,PROD17,86
44356,Shel010,PROD27,58
43104,Shel010,PROD28,100
45279,Shel010,PROD24,20
44441,Shel010,PROD35,46
44221,Shel010,PROD22,44
43149,Shel010,PROD12,98
44927,Shel010,PROD16,80
45876,Shel010,PROD43,89
44363,Shel010,PROD15,42
43410,Shel010,PROD19,91
43282,Shel010,PROD36,97
44680,Shel010,PROD21,79
44880,Shel010,PROD19,35
46175,Shel010,PROD19,58
43544,Shel010,PROD13,34
45108,Shel010,PROD12,21
46100,Shel010,PROD20,99
42865,Shel010,PROD26,62
43359,Shel010,PROD25,85
46038,Shel010,PROD20,94
43158,Shel010,PROD40,85
45749,Shel010,PROD25,46
45159,Shel010,PROD41,48
42943,Shel010,PROD43,80
43076,Shel010,PROD25,17
45910,Shel010,PROD25,72
44861,Shel010,PROD14,87
45791,Shel010,PROD46,60
42830,Shel010,PROD24,13
42822,Shel010,PROD24,78
42763,Shel010,PROD15,25
42803,Shel010,PROD10,76
44901,Shel010,PROD21,11
44042,Shel010,PROD33,58
43733,Shel010,PROD23,36
45681,Shel010,PROD22,33
45491,Shel010,PROD31,85
43853,Shel010,PROD46,41
42879,Shel010,PROD28,73
43035,Shel011,PROD37,33
44162,Shel011,PROD35,29
44926,Shel011,PROD40,94
44249,Shel011,PROD45,96
45770,Shel011,PROD17,58
45900,Shel011,PROD26,92
44655,Shel011,PROD30,28
44187,Shel011,PROD41,72
43193,Shel011,PROD26,88
43991,Shel011,PROD40,66
45321,Shel011,PROD36,60
43031,Shel011,PROD15,39
44351,Shel011,PROD48,67
45848,Shel011,PROD22,35
45910,Shel011,PROD38,22
43332,Shel011,PROD32,58
43528,Shel011,PROD44,36
43539,Shel011,PROD20,34
43549,Shel011,PROD49,36
46080,Shel011,PROD41,82
45778,Shel011,PROD47,51
45977,Shel011,PROD33,46
45869,Shel011,PROD25,66
44134,Shel011,PROD22,44
43468,Shel011,PROD19,67
44370,Shel011,PROD39,88
45642,Shel011,PROD22,78
44600,Shel011,PROD10,33
44268,Shel011,PROD10,52
44121,Shel011,PROD37,44
44669,Shel011,PROD29,14
43749,Shel011,PROD32,62
42814,Shel011,PROD42,61
45321,Shel011,PROD35,53
45109,Shel011,PROD26,63
44724,Shel011,PROD42,79
43201,Shel011,PROD46,17
43038,Shel011,PROD46,66
42905,Shel011,PROD24,63
43096,Shel011,PROD21,25
45662,Shel011,PROD27,22
42998,Shel011,PROD30,88
43217,Shel011,PROD24,28
46082,Shel011,PROD38,36
45584,Shel011,PROD12,61
45121,Shel011,PROD18,92
44840,Shel011,PROD17,74
44829,Shel011,PROD22,40
45135,Shel011,PROD21,84
44331,Shel011,PROD27,47
43615,Shel011,PROD13,44
44052,Shel011,PROD17,83
42983,Shel011,PROD38,77
45743,Shel011,PROD37,16
44329,Shel011,PROD43,17
44733,Shel011,PROD18,88
42903,Shel011,PROD35,34
45057,Shel011,PROD17,47
43331,Shel011,PROD22,96
43055,Shel011,PROD48,90
42935,Shel011,PROD31,74
45142,Shel011,PROD40,26
43769,Shel011,PROD49,30
45070,Shel011,PROD19,13
45942,Shel011,PROD13,82
45302,Shel011,PROD30,19
45867,Shel011,PROD30,92
45434,Shel011,PROD16,17
46139,Shel011,PROD22,15
46193,Shel011,PROD50,15
44681,Shel011,PROD32,78
43602,Shel011,PROD41,14
44376,Shel011,PROD29,78
43836,Shel011,PROD50,52
45075,Shel011,PROD49,24
45321,Shel011,PROD14,79
43084,Shel011,PROD45,71
44106,Shel011,PROD27,66
44899,Shel011,PROD11,20
44759,Shel011,PROD43,10
45206,Shel011,PROD11,20
44666,Shel011,PROD34,31
42860,Shel011,PROD28,64
45742,Shel011,PROD19,80
46164,Shel011,PROD15,52
43394,Shel011,PROD16,49
43630,Shel012,PROD28,19
45629,Shel012,PROD10,18
45902,Shel012,PROD19,89
45034,Shel012,PROD18,64
45815,Shel012,PROD34,85
43716,Shel012,PROD41,26
42993,Shel012,PROD11,12
45230,Shel012,PROD31,94
43463,Shel012,PROD35,19
